Date,Speaker,Statement,Member
2005-05-03,MR. MOSKOW,That’s unfair.,M
2005-05-03,MR. OLSON,"It has been 17 years, Michael. It has been a long time. I’m inclined to support those of you who have already spoken to the strength of the underlying fundamentals and who believe the output gap is continuing to close slightly. I think we clearly communicated in the last meeting—and the market interpreted it correctly—our heightened concern about the level of inflation. With respect to the likely direction of the underlying economy, I think the information is sufficiently contradictory or unclear that it is difficult to make a positive statement. However, we may choose to do as Susan and Roger and I did in our announcement with respect to the Basel II QIS4  information. Some of you may know that as we were looking at the QIS4 data, which involved the study of the impact of the new Basel II Accord on the banks, we decided that either the information reflected a wider disparity of risk exposure or that there were some additional fundamental inconsistencies in the underlying data that would require us to postpone the release of our notice of proposed rulemaking. So we did that. That we simply postpone, actually, would be my first choice for today.  Since that is not really being an appropriate option for us, I would suggest that we not significantly revise the manner in which we have communicated our views regarding the removal of policy accommodation until we get a clearer sense of what the underlying data are telling us.",M
2005-05-03,MR. GREENSPAN,Governor Bies.,M
2005-05-03,MS. BIES,"Thank you, Mr. Chairman. I guess I’m going to repeat a lot of the things that others have said, but I think I will end up in a somewhat different place than some of you around the table in that I’m much more concerned about the risks of inflation than I am about those for the real economy. If we look at the first-quarter data, and more particularly the information that has come out in the last several weeks, we can really see that the quarter started out very strong and that the more recent data showed some weakness. First-quarter GDP growth at 3.1 percent was much weaker than most folks, myself included, expected. But if one looks at the components of the underlying data, they show that the weakness in the first quarter was primarily in net exports—particularly due to the surge in imports—and in government spending. In fact, private domestic final sales were really quite good in the quarter, growing by my rough estimate at somewhere in the high 3 percent range. So how do we deal with that? Well, to the extent that the weakness is imports and is coming from strong consumer and business spending, that’s a good sign. So, while I want to get some more data on what is happening in the real economy, I’m not as pessimistic as some of you. Monetary policy is still accommodative, if one looks at the liquidity in the banking system. And while the weaker economic data caused some reaction in financial markets, overall the conditions are very supportive of business expansion and consumer borrowing. Corporate profits for the first quarter, which are still coming in, seem to show continued strength, and first-quarter earnings growth now looks as if it will be in double digits for the twelfth straight quarter. To me the other remarkable development in the markets is what has happened in reaction to news about compliance with Sarbanes-Oxley. This is the first year-end reporting. Most companies are on a calendar year-end, and a record number of companies have announced that they cannot report in the regular time frame and are doing late filings. Normally, one would expect this to create a disruption in the market, but the market has been very discerning in the way it has taken the news. Many companies that have reported have had to disclose weaknesses in their internal controls around financial reporting. And based just on the anecdotal evidence, the market seems to be behaving very prudently in that it is distinguishing between companies where the reported weaknesses are isolated in one small area and those where the control weaknesses are more pervasive. So, it appears that the sunshine associated with these disclosures is being handled well in the marketplace. We’ll see what happens as we go along and those firms that have still to disclose their Sarbanes-Oxley reports do so. I was a little concerned that we might see more volatility in the market as a result of these reports, but that worry has been disappearing in the last few weeks. Let me turn now to the inflation issue, which does have me more concerned. If we look at the lagging indicators, inflation numbers over the last 12 months are still in the mid-1 percent range, depending on what measure we look at. But one of the things we need to realize is that in the first part of last year inflation rates were very, very low. If I look instead at inflation measures in the first quarter compared to the fourth quarter, I get very much concerned about the trend we’re seeing. If I throw out all of the volatile energy and food components, the way we typically do, and look at core measures, core CPI has risen by 1.3 percentage points to 3.3 percent in the last three months. Core PCE is up a full point to 2.6 percent. As to where we see prices rising, the big turnaround, as some of you have indicated, has been in the goods sector of the market. Prices for services continue to be rising by a bit above 2 percent, but goods prices have gone from declining at an almost 3 percent pace at the beginning of last year to being about unchanged now. That is affecting the aggregate numbers and is something we need to watch. The employment cost index in the first quarter did show a slight slowing to 0.7 percent from 0.8 percent in the fourth quarter. But as David remarked, this is due to the slowdown in pension funding that occurred in the first quarter. A recent survey of corporate CFOs shows that their number one concern continues to be health care costs. And as they look to pay for the cost of labor going forward, many of them are trying to hold down wage increases because of the significant rise they’re seeing in health care costs. Where this will lead in terms of future hiring is a concern. It may impact the real economy, because if employment growth continues at the more subdued pace of the last month, it could affect consumption and the real final sales that are giving me confidence in the real sector. As for the balance of risks, I agree with the comments President Yellen made; I believe the risks of inflation are now clearly on the upside.",M
2005-05-03,MR. GREENSPAN,Governor Ferguson.,M
2005-05-03,MR. FERGUSON,"Thank you very much, Mr. Chairman. Like everyone else, I’ve noted with some concern both the incoming evidence of a soft patch with respect to growth and a rough patch with respect to inflation. However, I also believe that the Greenbook has taken these incoming data on board with the usual wisdom and aplomb that I would expect from the staff. I, therefore, think I can easily support the baseline as being a reasonable basis for policymaking today. Having said that, I’m also quite certain that the baseline will be wrong; I just don’t know in which direction. As many have already pointed out, the range of risks is really quite large. I would say that if one looks at the alternative simulations, one can see many of the elements of those risks. Given the fact that I’m the last speaker, I will not go through a recitation of the data. Instead, I’m going to move to the implications of that. First, I think the outcome of today’s meeting is in some sense a foregone conclusion. Anything other than a move of 25 basis points would be folly, and I don’t think we want to go down that path. Second, with respect to what we say today, a number of people have raised some questions about whether or not we should keep the word “measured” in our description. Frankly, given the range of uncertainties that we are facing now, to do anything other than to say that policy will be moved at a measured pace, I think, would create more uncertainty than certainty. So inertia in terms of the language might well be a smart move. Thinking beyond that, though, to the rest of this year and focusing a bit more on strategy, I note that the markets have now marked down their expectation of where the fed funds rate will be toward the end of the year and much of next year to a number close to 3.75 percent as opposed to 4 percent. That leads me to think about exactly what has been driving the unusual data we have seen coming in. Here I pick up a point that the Greenbook raises. The writers hypothesize that there are two reasons for the softness in the recent data: one is higher energy prices, and the second is that the tightening of monetary policy may have taken a greater toll on the economy than we had anticipated. Many have already explored the energy price issue and its implications for inflation. Let me now go to the other side, which is the question of whether or not the tightening of monetary policy has had a greater toll on the economy than we had expected. This obviously is another way of saying that the equilibrium real interest rate is somewhat lower than we might have thought previously, and I’d like to explore that possibility. I think the markets clearly have the view that the equilibrium rate or the neutral rate may have come down somewhat. The Bluebook table indicates that the TIPS-consistent measure on a core PCE basis would put the medium-run equilibrium real rate at about 2¼ percent. Obviously, we cannot observe the rate that would be called for to keep the economy growing at potential without inflationary pressures, but perhaps we can approximate this unobservable by looking at the long-run averages. The average real rate during the period 1991 to 2000 was about 2¾ percent. Thus, the market seems to be signaling that the equilibrium real rate has come down to a level about 50 basis points below what it was in the last decade. David in his remarks indicated that there is obviously a wide band of confidence around that, but it may be somewhat lower as well as potentially somewhat higher. So let’s look at the question of why the rate might be lower or why it is that the market and the Greenbook might be right to suggest that the trajectory for the rate might be somewhat lower than we had thought earlier. I think we all know the litany: the restraint imposed on domestic consumers from the increase in the cost of energy, the lingering hesitancy of businesses to make commitments, and the drag on domestic production from the excess of imports over exports. All these factors represent forces that are pulling the equilibrium rate down below its perceived long- term rate. So what are the facts? First, with respect to the first explanation on energy prices, the staff yesterday showed us a simulation that indicates that the run-up in oil prices since December 2003 may have taken ½ percentage point off growth in 2004 and ¾ percentage point off growth this year. I have nothing to add to the simulation, but it clearly suggests that there is some damping of domestic demand that’s coming from these high and consistently high energy prices. Let’s go to the second point, which is the issue of business hesitancy. It’s certainly true that equipment and software spending has been growing relatively strongly. However, by historical standards, both nominal high-tech and non-high-tech E&S  expenditures as a share of GDP are somewhat lower than average. I don’t have the exact numbers, but as a rough approximation it seems as though non-high-tech spending has accounted for somewhere between 5½ and 6 percent of GDP since 1980, and now accounts for something lower—close to about 5 percent. High-tech spending has also been trending up for some time, but perhaps it should be about 4¼ percent of GDP now and it’s actually about 3¾ percent. These are obviously rough estimates, but they all suggest that there has been a lingering drag on investment following the 1990s. The third explanation for why the real equilibrium rate may be somewhat lower, obviously, is the drag from trade. That topic has already been well discussed. I won’t add much more except to say that in a recent discussion with the ECB , their policymakers seem to have some concern that the risks to their economic growth are primarily to the downside, suggesting that we should not expect a pickup in demand for our exports overseas. So the question then becomes this: If, indeed, the markets are right and we are closer to the end than to the beginning of our move toward the equilibrium rate, what happens if we get all of this wrong? I realize I’m trying to do something here that Gary suggests we can’t do, which is to achieve a brilliant policy, exquisitely executed. But if we aren’t able to achieve that, what happens? I asked the staff to run a rough simulation from FRB/US to see what would happen if we continue to raise rates 25 basis points today and at each of the following four meetings—in June, August, September, and November. That simulation suggests that we would wind up at the end of 2006 with real GDP growth down at about 3.1 percent, the unemployment rate would have risen to about 5.5 percent, and core PCE inflation would have fallen to 1.6 percent versus the 1.7 percent in the Greenbook baseline. I don’t have a longer-run forecast, but I would expect that over a longer time horizon we’d find inflation trailing off even more. The reason I’ve gone through the simulation is to suggest that as we think about the rest of this year, we should probably take on board the fact that while we have to continue to tighten—as both the market and the Greenbook suggest—this concept of measured pace is very, very important. And the issue of exactly when and where we stop is also quite important. To put it another way, while I’m comfortable with the strategy for today, I think we’re really entering the neutral zone. And for those of you who are Star Trek fans, you may recall that when you enter the neutral zone that’s when the aliens are most likely to attack.  It is quite clear to me that we have executed one exit strategy, but unfortunately I think we’re entering a mode where we need a new exit strategy from the exit strategy!",M
2005-05-03,MR. GREENSPAN,Mr. Reinhart.,M
2005-05-03,MR. REINHART,"Thank you, Mr. Chairman. I’ll be referring to the materials that were distributed during the coffee break. Market participants see today as another step in your journey of removing policy accommodation. As shown in the upper left panel, futures prices and survey responses indicate that a ¼ point firming today is a lock, as is the retention in the statement of the judgment that the risks to both of your objectives are balanced. Some doubts, however, have surfaced about whether the “measured pace” language will survive the day: One in four of the respondents to surveys by the Desk and by Blue Chip think not. Market views about your action today were essentially settled by your March statement. As the solid line in the top right panel shows, the May federal funds futures contract has traded at about 3 percent over the entire intermeeting period. But investors also apparently understood that your actions in coming quarters depend on economic prospects, as they revised down the funds rate expected at year end (the dotted line) about ¼ point—or about as much as the staff has assumed in its baseline. Some of the twists and turns of that path owed to Committee statements. As can be seen in the middle left panel, the announcement released after your March meeting was viewed as hawkish about inflation and prompted the largest swing in the two-year Treasury note yield in the window surrounding 2:15 p.m. in the past year (the red bar). Some of that was taken back by the more nuanced description of your deliberations provided in the minutes of that meeting released three weeks later. (Note that only the last three pairs of bars cover the new regime of expedited publication of the minutes.) As can be seen by the bars in the upper of the two panels at the middle right, the two-year yield rose in the windows bracketing major economic data releases, as increases following data on faster-than-expected consumer price inflation more than offset the changes sparked by spending, production, and employment releases with a surprisingly soft cast. That latter information, along with well-publicized problems at a few prominent corporations and declines in equity prices, soured market sentiment about the vigor of the economic expansion. And as can be seen in the panel just below, intraday movements in the two-year note yield were highly correlated with those of the S&P 500. As shown in the lower left panel, equity prices shed 2½ percent on net over the intermeeting period, and risk spreads on debt instruments widened. Triple-B yields (the solid line in the middle panel) edged lower, but speculative-grade yields (the dotted line) actually rose. With the value of the dollar appreciating slightly on foreign exchange markets (the lower right panel), financial conditions likely tightened on net. If you believe that these financial conditions—which are predicated on market expectations of policy action today and more to follow—will preserve satisfactory economic expansion while containing inflation, you probably would be comfortable with moving the federal funds rate to 3 percent this afternoon. No doubt, the staff’s assessment of the economic outlook, as summarized in the upper panels of exhibit 2, has moved in an unsatisfactory direction, with the output gap, at the left, narrowing more gradually than in the previous forecast, and core PCE inflation, at the right, running along a slightly higher path. This fits the bill of an adverse supply shock, likely at least in part the product of sustained higher oil prices. In effect, higher inflation—and probably upside risks to inflation—act as a constraint limiting how fast slack can be worked down. As a result and as many of you have noted, the policy menu available to you looks dourer than it did six weeks ago. In that brave new world of diminished possibilities, a ¼ point increase in the nominal funds rate would help prevent an erosion in the real funds rate (as the result of the upcreep in inflation and perhaps short-term inflation expectations) and might even close a little of the distance of the actual real rate (the solid line in the middle panel) with estimates of its equilibrium (the swath of red). Taking as given the wisdom of the crowd about policy expectations, the issue isn’t whether you will tighten by ¼ point, but whether you will signal a slower, unchanged, or quicker pace of firming going forward in the words that accompany that action. The staircase plotted in blue in the bottom left panel considers a future in which you tighten 25 basis points at upcoming meetings for as far as the eye can see. That path is not built into markets. The expected federal funds rate (the dark solid line) veers to the south of the staircase and flattens out, implying the expectation of an end to this cycle of firming. Looking at the readings along the vertical line denoting year-end, an expected federal funds rate of 3½ percent adds up to two more ¼ point increases in the final five meetings of 2005. The same structure of expected funds rate can be described as averaging over different branches of the probability tree in which the Committee tightens ¼ point at each meeting until it stops for good. The distribution of stopping times, given at the lower right, shows that current futures quotes are consistent with ¼ weight given to the funds rate being on hold starting in June and a six-in-ten chance prevailing that you will be done at some point before the end of this year. The arguments for pausing sometime soon are laid out in exhibit 3. In particular, as seen by the position of a nominal federal funds rate of 3 percent plotted as the solid line in the upper left panel, standard policy rules mostly call for something south of that target. As shown in the two panels at the upper right, policy rules agree that the nominal funds rate this quarter should be higher than the average of the first quarter. You’d be more comfortable with a funds rate at the level of 3 percent if your inflation goal is a 1½ percent annual increase in the core PCE (the upper right panel) than if your inflation goal is 2 percent, as noted directly below. Holding the funds rate at 3 percent for some time would have added appeal if you viewed spending as potentially prone to a negative confidence shock that could spill over to financial markets, perhaps as spelled out in one of the alternative simulations in the Greenbook that turns out to be a favorite of Governor Gramlich. As shown in the middle panels, in that simulation the unemployment rate ends the forecast period 1 percentage point higher than the baseline, and core PCE inflation moves back into the territory where “unwelcome disinflation” was once a serious concern. Moreover, a signal that policy would be on hold might not provoke particular concern on the part of market participants given that employment compensation (the lower left panel) remains subdued and inflation expectations (the lower right panel) generally seem well anchored. For some of you, such reasoning may sound uncomfortably like an echo of arguments made 30 years ago, just at the point where people around this table made serious mistakes. Core PCE inflation, the solid line in the upper panel of exhibit 4, is running well above the central tendency of your forecast for this year made just three months ago. And at 5¼ percent, as in the middle left panel, the unemployment rate is within spitting distance of most estimates of its natural rate. In addition, as at the middle right, productivity growth has slowed, perhaps suggesting that less restraint on unit labor costs will be provided in coming quarters. With such an outlook, you might be justified in wanting to pick up the pace of firming sometime soon. Indeed, as shown in the bottom panel, both the spot price of West Texas intermediate crude (the solid line) and far-ahead futures prices for that resource (the dotted line) have moved up decidedly, implying that more of the “excise tax” an import-dependent country such as ours must pay is permanent, presumably to the detriment of spending and the economy’s potential to produce and posing the risk that inflation expectations will pick up. Putting greater weight on the reduction in supply associated with this run-up in energy prices—which includes both a possible deterioration in inflation sentiment as well as longer-run effects on potential output—presumably would incline members to want to project a firmer stance of policy. A useful starting point for your discussion of the policy statement might be the one you issued in March, which I have included as exhibit 5. In previous meetings and in comments on the early drafts of potential statements I distributed last week, some of you expressed a clear preference for eliminating forward-looking language from the announcement. It is important to recognize, however, that the forward- looking content comes in two flavors, one explicit and one implicit. The Committee characterizes its future policy action in the next to last sentence, which is typed in red. This is a relatively explicit message, in that the Committee forecasts both the direction and the likely pace of its future action. The implicit forecast is typed in blue. As long as you assert that policy is accommodative against the backdrop of a generally positive depiction of the economy, readers will infer that you intend to raise rates over time. This opens up the two possibilities for altering the statement to enhance your flexibility that were discussed under alternative C in the Bluebook. You could be asymmetric and trim the explicit description of your future action—the red-typed language about “a pace that is likely to be measured”—but leave the part where you describe policy as accommodative. Readers will likely view that change as giving the Committee the scope to tighten more quickly than previously expected. Alternatively, you could excise all guidance, both the red and the blue, on the notion that the changes would indicate symmetry about the possible paths for policy. Whatever may be the merits of a statement that does not restrict your range of future action, the current situation may make you willing to tolerate the status quo for a bit longer. The expansion probably seems less vigorous and more uncertain to you now than it did six weeks ago, and you might be concerned that an adverse market reaction to an asymmetric statement without the “measured pace” language could further dent the economy’s momentum. But despite the recent hesitancy in spending and production, you’re likely to view a 3 percent nominal funds rate as still accommodative. Thus, it risks misleading the public to remove that sense under a symmetric approach to eliminating forward-looking language. If you share that appraisal, you probably would favor, even if reluctantly, alternative B of Table 1, which is repeated for convenience as the last exhibit.",staff
2005-05-03,MR. GREENSPAN,Questions for Mr. Reinhart?,M
2005-05-03,MR. SANTOMERO,I have just one question on the inflation swap quotes. You talked a little bit about them when you first introduced them in February. How good are those data? Is that market deep? Are the quotes indicative? Are they real transaction quotes? I’m just curious; it’s intriguing stuff.,M
2005-05-03,MR. REINHART,"It’s material that was in the last Bluebook, and it is repeated again in this one, where we talk about the changes in forward-looking inflation compensation. In fact, the inflation swap market developed mostly in Europe. That’s where the market is deeper, in part because in Europe apparently there are participants on both sides of that trade—mainly utilities that have legislated rates and, therefore, are willing to pay for getting that protection. In the United States, the volume of trading has increased over the last year or so, and we do think that it is a useful market. One mystery in that market, which still prevails, is that at least at the front part of the TIPS yield curve and the inflation swap yield curve, there’s a bit of an arbitrage opportunity. Dealers we talk to say that, yes, they know it exists, but to exploit it would involve basically exploiting their customers, and they are reluctant to do that while the market is still limited; it hasn’t deepened enough.",staff
2005-05-03,MR. SANTOMERO,Thank you.,M
2005-05-03,MR. GREENSPAN,Further questions?,M
2005-05-03,MR. LACKER,"I have a comment on process. I appreciate the earlier distribution of Table 1, which is a procedure we decided on at the last meeting. On reflection, I’d like to register some reservations about it. It has the effect of shifting substantive deliberations out of the Committee, and it prevents us as Committee members from benefiting from the reasoning and thoughts of our colleagues on the FOMC. We don’t know what other members are communicating during the period leading up to the meeting. I’m not sure exactly the right way to get around this, and I hope we can revisit this topic sometime soon. But one possibility would be to have members submit their suggested changes to Table 1 in writing. Then, after the close of some suitable comment period, the staff could distribute those suggestions so that we could glean what people are thinking when they suggest changes to the language rather than having to reverse engineer via exegesis.",M
2005-05-03,MR. GREENSPAN,"Certainly some progress can be made in that direction, but let’s be careful not to bring it to the table at this point in the meeting, because the length of the discussion is indeterminate, and we still have our 2:15 deadline. Therefore, I think it’s critical that whatever we do with respect to enhancing the interaction on the wording of the statement be done before the meeting. And the Internet, especially e-mail appropriately encrypted, is a rather significant vehicle that can readily be employed if the members perceive that there is inadequate interaction on the statement itself. In my view, that can fairly easily be improved upon, if necessary, and I think Vincent is the central point here. So I would suggest that those of you who agree with President Lacker communicate that, or indicate to Vincent that you think the current process is perfectly adequate, which I always find a difficult position to support.",M
2005-05-03,MR. REINHART,"I would note with some irony, Mr. Chairman, that in the December 1999 memo that introduced the balance-of-risk language, it was taken for granted—I think this was on the first page—that draft language for the statement would not be circulated before the meeting because it had the potential to stifle the discussion at the meeting. So, the views of the Committee have changed in this regard. I would say it’s an open issue of where the pendulum is now relative to perpendicular. I welcome everybody’s comments. I look forward to those e-mails. And one possibility, if there’s enough interest, is that we can figure out when to have a Committee discussion.",staff
2005-05-03,MR. GREENSPAN,"You know, there’s a difference from five years ago. The difference basically is that the general notion that we can all come here, sit down and have a discussion in a limited number of hours, and in that period come up with a consensus on the best wording for our statement, has proven false. It’s a much more detailed deliberation; there’s far more involved than merely a statement of where the funds rate is going to be. What we are learning is that the process requires a great deal of deliberation prior to the meeting. So, even though we officially meet only on fixed days, the amount of interaction in the intermeeting period is increasing. It’s largely, of course, as a consequence of a statement that is ever more elaborate. I think we’re finding that the old notion about not discussing in advance what our views are—that we should just come to the table and work them out—would be fine if we had an open-ended time frame, which we don’t. We issue a statement at 2:15 p.m. on the day of our meeting. So, unless we want to change that, which has a lot of consequences, we have to recognize that a goodly part of what we discuss and conclude has to result from our pre-meeting discussions. Now, to the extent that you wish to enhance the amount of interaction among members, there clearly are vehicles to do that which we do not at this stage employ. There has to be an ultimate arbiter, and it still has to be Vincent in one way or another, because it is conceivable, if we are all interacting and not taking votes, that we could have a stalemate. And a stalemate is not permissible in this Committee, because we have to come to conclusions. So, we can move to a greater degree of interaction, if you choose. And I think that can be done very readily, especially with the marvelous advances in technology that have emerged in the last five years.",M
2005-05-03,MR. GUYNN,"Mr. Chairman, I was going to raise this point later, or maybe at another meeting, but I think it’s consistent with the discussion we’re having. I would hope that we don’t foreclose the possibility, long term, of rethinking this entire process. It seems backwards to me to be trying to work on the statement before we have the benefit of a Committee discussion in which we hear each other’s views. I don’t think we can replicate that in one-on-one discussions. Don, you know far better than I do the process at the Bank of England, but Bob Eisenbeis and I had occasion to visit there, and I believe their process still involves a meeting that encompasses two days. They meet one day to talk about their views on the economic outlook and on policy. They spend the next day talking about what to do and how to describe it. It seems to me that this work is important enough that at some point—again, not today—we might want to reconsider the whole process. If we to want to craft these kinds of statements, they may be better done by the Committee after we’ve had our discussion about the economy and policy. I just hope we wouldn’t rule that out as a possibility somewhere down the road.",M
2005-05-03,MR. GREENSPAN,"If a large enough proportion of this membership agrees with that statement, it’s an obvious topic for one of our upcoming two-day meetings. The fact that the Bank of England does it is not, in and of itself, a recommendation.  Further questions for Vincent? If not, let me get started. President Lacker raised an interesting point, which I have been meaning to raise, and I’d just like to repeat it: One of the things we have succeeded in doing through all of this confusion is to communicate to the marketplace what our relative priorities are. The market now pretty much anticipates how we’re going to respond to various events or developments in advance of their occurrence, and the market has been relatively accurate. In other words, we come to this table and we find that, lo and behold, expectations of the federal funds rate going forward are not all that different from the general judgment of this group, even though that judgment may have changed significantly from the previous period. So, while there are problems—and in fact, we have an eight-week spread between meetings in a period of increasing uncertainty—I’m not sure I care all that much. I think the markets will do our work for us until we come and sit at this table and formalize it. So, that takes away one of the problems that I think we have had. And I believe we would be well advised, if we can somehow manage to do so, to continue to convey to the marketplace where our priorities are and what is likely to cause them to change. I say that because to me there is certainly an underlying value to maintaining as little reaction to our post-meeting statement as possible, with the exception of when we very deliberately want to change market sentiment. Indeed, last meeting we did wish to do that. We actually wanted to confront the issues that spreads were getting too narrow and that there was a degree of complacency in the market. So the statement was changed in a manner that pretty much indicated that we were slightly more concerned than the market had anticipated. And we got a fairly significant reaction, as exhibited by the very big blue spike in Vincent’s chart. But that’s the exception. We should endeavor whenever we can to make the 2:15 p.m. announcement subsequent to these meetings as uneventful as possible in most cases. In this context, I think we need to consider the fact that the markets are essentially saying that we are going to pause in some of our subsequent meetings. Now, it’s one thing to forecast that we’re going to pause, but it’s quite another to actually do so. The pause can arise in two ways. One, we can literally stipulate that we are not going to act in the current meeting but are likely to act at the next meeting. We’ve never tried that. I think we’ll have considerable difficulty formulating language that essentially says: “We know enough at this moment not to move the funds rate, but we know something that suggests that we are going to move it six weeks from now, or whenever the next meeting is.” I would find it very difficult to craft such a statement with credibility. As a consequence, I think what is likely to happen is that we will continue to increase rates until we actually come to what we perceive to be the end. However, it may very well be that it is not the end and that in later periods we will move. Hence, that will validate what the markets are saying—that we will pause only because we didn’t get it right and not because a pause was part of our policy program. That, to me, will almost surely be the case, because, as history tells us—in fact, it’s a cliché around this Committee—at the end of a process of either tightening or easing, the last move is a mistake. The challenge basically is to put ourselves into a position, when we make that mistake, where the probability of our creating a significant disruption is minimized. This leads us to the question that we nearly always confront, which Governor Ferguson raised indirectly earlier. Most of the time we have to ask ourselves: If we take a particular action and it proves to be a mistake, is it more costly than taking the presumed alternative action and having that turn out to be a mistake? For example, we’re confronted currently with the issue of choosing to pause or make a significant change in the statement on the one hand, or of continuing with a move of 25 basis points and keeping the word “measured” without significantly changing the statement on the other. If we choose the first—either pausing or making a significant change in the statement—and that proves wrong, in my judgment that will create a more significant problem for us than if we presume that inflation is the more critical ongoing problem, go 25 basis points, and maintain the language from our last meeting. If we do the latter and we are wrong, it will be far easier to recover from that than to recover from having made a statement which presupposes that inflation is under control and have that prove to be wrong. So, I think we’re getting ever closer to where we’re eventually going to stop, and we’ll be making decisions of this nature until we come to the conclusion that the argument for moving another 25 basis points cannot be sustained. I happen to think that the current situation is again likely to prove to be a soft patch. There are certain aspects of it that are not consistent with an actual turning point in the business cycle. Indeed, if it is the beginning of a cyclical downturn, it will be one of the most extraordinarily rare events in business history, basically because profit margins are still rising. I don’t recall a situation in which the economy literally turns down, unless there is a financial crash, with profit margins at their peak. In fact, I don’t recall a financial crash with profit margins at their peak. There are usually long lags and deterioration, but we haven’t started to see that yet. The deterioration that I think is out there involves a slowdown in productivity and, by implication, a rise in unit labor costs. But we’re assuming that to be muted, largely because wages are considered to be growing at a fairly stable pace—indeed, if anything, a slower pace. If NAIRU  means anything, it suggests that the current unemployment rate has to imply some level of market tightness that, at the end of the day, either has to stabilize the rate of increase in compensation or—in my view very much more likely—induce it to rise. This suggests to me that the Greenbook forecast of profit margins flattening out and starting down seems the most credible scenario in terms of how market forces are likely to run. But if that is indeed the case, then this is a pause. This is not something that suggests economic activity is going down. I think we’re being helped by recent developments in the oil market. As best I can judge, that is the major factor for the pause here, as it was last year. And I gather that most of the people around this table also believe that is the case. We had a very unusual situation going into what is normally the second-quarter slowdown in oil consumption in the northern hemisphere and, therefore, in world oil consumption. The Saudis increased production, which created a significant but temporary glut largely in the lower-gravity, more sulfurous crude oils that come out of Saudi Arabia. The effect essentially was to throw a lot of crude oil on the market for which there was no immediate demand or need. The Saudis kept saying, “We’re producing this oil, but we don’t have any customers.” There were customers for the light sweet crudes. That’s where the real demand was. In any event, this oil came on the market and pressed the spot price down below the forward prices. And because a futures market essentially spreads the supply/demand pattern not only for the spot market but throughout the whole spectrum of forward markets, we ended up going from “backwardation” in the forward market to effectively a “contango.” In other words, the forward prices were at higher levels than the spot prices, which meant that for the first time in a very long time you could accumulate oil inventories profitably. You could buy crude at spot, sell it for delivery six weeks later at the futures market price then existing, and guarantee a spread and a profit. Judging from the pattern, a lot of that has been going on because crude inventories are rising. This suggests that it is profitable for people to accumulate oil inventories, which was very obviously not the case earlier. But as inventories rise, the spot price falls relative to the futures price, making it even more profitable to hold more inventories. This brings the price down even further, and that process usually doesn’t come to an end unless there is a significant pullback in production or an acceleration of demand—or obviously some form of geopolitical problem that creates very grave concerns in the marketplace. If this pattern continues—and so far it appears to be working—gasoline prices will be coming off reasonably soon. Work that has been done by the staff here suggests that gasoline prices are essentially a function of the weighted average crude, which is 60 percent light sweet crude and 40 percent the heavier, more sulfurous crude. The pattern suggests that we are close to where the margins ought to be, and, therefore, declining crude prices get reflected fairly quickly in gasoline prices. We’re going to learn quickly enough whether or not that is indeed undercutting grave concerns about the outlook. We’ll know whether or not oil—or the energy issue more generally—is indeed a fundamental problem that has created difficulties over the last six weeks. I doubt that monetary policy is all that big an issue, because as far as the markets are concerned monetary policy hasn’t changed in any measurable way for months. To be sure, we have been tightening, but the markets have been tightening for us. As far as the two-year note is concerned, the market has tightened well in advance of anything that we’ve been doing. 5 So, I think it’s hard to make the argument that it’s monetary policy here. Where this leaves us is that essentially we’re going to have time to watch what the implications of declining gasoline prices are going to be for the outlook. If this is indeed a soft patch, then continuing with 25 basis points, as in alternative B, and keeping the wording as close as we can to the previous statement, will turn out in retrospect to have been exactly the right policy. If, however, we choose to make some adjustments, I think we’ll have some backtracking to do in the language. If we begin to soften the language now and this economy starts to pick up again, we’ll have to tighten our language, whereas if we keep what we have in alternative B and the economy softens, the markets will soften for us. We will have the ability to change the language, which we may well choose to do eight weeks from now, and we will have had one move from where we have been to where we will be in June, rather than confront the possibility of one move and then another move. And as far as maintaining a stable monetary policy is concerned, usually the fewer moves we make to correct earlier moves, the better. As a consequence, I think the evidence at this point suggests that we should go with alternative B—moving the funds rate up 25 basis points and using the language stipulated in Vincent’s presentation on page 6. President Poole.",M
2005-05-03,MR. POOLE,"Mr. Chairman, I have an alternative D, which may not be appropriate for today, but it might be helpful in some future meeting, so let me pass this language around. While that’s going around, I’d like to say that I agree with Jack Guynn that we have a real problem in terms of the coordination of the statement and the minutes. When the minutes come out in three weeks, they’re going to have to reflect the fact that there is widespread uncertainty around the table. And somehow I think that ought to be in the statement, because that is really part of the outcome of this meeting.",M
